Moviename,Type,weight
刘老庄八十二壮士,战争,0.039666650560595394
六福喜事,爱情/喜剧,0.5266470572282416
龙骑侠,动画/儿童/冒险,0.430923936794628
龙拳小子,动作/喜剧,0.7837921117601767
龙之谷：破晓奇兵,动画/爱情,0.331634595828208
楼,惊悚/悬疑,0.23938750780056572
陆垚知马俐,爱情/喜剧,0.5266470572282416
陆垚知马俐,爱情/喜剧,0.5266470572282416
路边野餐,剧情/奇幻,0.1258956904859547
路边野餐,剧情/奇幻,0.1258956904859547
露水红颜,爱情,0.24008282951345553
孪生密码,动作/悬疑,0.5945041713352438
伦敦陷落,动作/惊悚/犯罪,0.7105917983127074
洛克王国2圣龙的心愿,动画,0.09155176631475245
洛克王国3：圣龙的守护,动画,0.09155176631475245
洛克王国4：出发！巨人谷,动画/儿童/喜剧,0.38408301839995634
洛杉矶捣蛋计划,喜剧/冒险,0.6199693738242438
