0.5的爱情,﻿爱情,2014/9/12,蒲巴甲;李悦铭;江语晨;龚洁;,北京帧画影视文化传播有限公司;,河北志宝文化传媒有限公司;北京上视之光影视科技有限公司;,邢潇;,,56,1,1
三人行,动作/惊悚/犯罪,2016/6/24,赵薇;钟汉良;古天乐;林雪;谢天华;卢海鹏;张兆辉;龚慈恩;洪天明;黄浩然;王梓轩;欧锦棠;朱健钧;,寰亚电影发行（北京）有限公司;爱奇艺影业（北京）有限公司;寰亚电影制作有限公司;,香港寰亚电影有限公司;中影寰亚音像制品有限公司;北京海润影业有限公司;寰亚电影发行（北京）有限公司;浙江艺能传媒股份有限公司;上海格瓦商务信息咨询有限公司;北京百度糯米信息技术有限公司;北京百度网讯科技有限公司;爱奇艺影业（北京）有限公司;寰亚电影制作有限公司;银河映像;Shanghai Hairun Film & TV Production ;无锡灵动力量文化传媒有限公司;格瓦拉电影;灵魂力量;海润影视集团;深圳电影制片厂有限公司;,杜琪峰;杜琪峯;,游乃海;杜琪峰;杜琪峯;,10041.5,1,1
三十七,,2014/12/24,刘晓庆;杨采妮;林妙可;孙艺峰;,星美(北京)影业有限公司;,星美(北京)影业有限公司;香港电影发展基金;美纳影视有限公司;,陈国新;,,25.140000,2,2
三只小猪与神灯,动画/励志/儿童/喜剧,2015/6/27,王燕华;洪海天;李晔;符冲;,华夏电影发行有限责任公司;,华夏电影发行有限责任公司;蘭发行团队;合一影业有限公司;长影集团有限责任公司;江苏省广播电视总台优漫卡通卫视;上海米家文化传播有限公司;,刘炜;,,2382.4,1,1
三城记,爱情,2015/8/27,秦海璐;黄觉;井柏然;李建义;刘青云;陈欣健;汤唯;金燕玲;焦刚;,华谊兄弟传媒股份有限公司;,安乐影片有限公司;华谊兄弟传媒股份有限公司;合一影业有限公司;华谊兄弟国际有限公司;大众点评网;,张婉婷;,,1224.1,1,1
三小强,动画,2014/4/4,刘沛;柯德涛;韩波;,深圳市环球数码影视文化有限公司;,广东环球数码动画制作有限公司;环球数码媒体科技研究（深圳）有限公司;,傅燕;,,232.4,1,1
三更车库,惊悚/恐怖,2015/4/3,方力申;林家栋;谢君豪;尹素怡;白茹;蒋中伟;赵成彬;,福建恒业影业有限公司;,北京新影联影业有限责任公司;上海大万文化传播有限公司;福建恒业影业有限公司;北京东方光魔影视文化有限责任公司;四川诚城影视文化传播有限责任公司;峨眉电影集团有限公司;,周耀武;,,791.9,1,1
三月情流感,爱情/喜剧,2013/3/1,于淼海;徐德亮;金士杰;范逸臣;陈洁;林筱筠;马彬茵;王心悦;冷海铭;,上海大万文化传播有限公司;上海炫映影视传播有限公司;上海光悦影视传播有限公司;上海广角镜影视文化传播有限公司;,上海大万文化传播有限公司;上海炫映影视传播有限公司;上海聚力传媒技术有限公司;,谢鸣晓;,,135.6,1,1
下一个奇迹,,2013/7/9,秦昊;唐振刚;吕晓霖;石修;张国柱;杨祐宁;莫小棋;朴熙植;刘诗诗;,上海电影股份有限公司影视发行分公司;,上海共创文化传播有限公司;,卓立;,,322.710000,2,2
下一站再爱你,爱情,2014/8/22,杨梓嫣;马浚伟;川岛茉树代;程小龙;刘鑫;,北京锐奇伟业国际文化传媒有限公司;,北京锐奇伟业国际文化传媒有限公司;武汉华宇丰文化发展有限公司;北京利久德长投资管理有限公司;,李德威;,,254.3,1,1
不二神探,喜剧/动作/悬疑,2013/6/21,李连杰;佟大为;黄晓明;何超仪;吴京;方力申;文章;柳岩;田亮;梁家仁;梁小龙;谢天华;田启文;冯德伦;邓丽欣;邹兆龙;陈妍希;郑嘉颖;黄芝琪;冯克安;林爽;陈苗;方中信;马伊琍;刘诗诗;林峯;林辉泰;,北京光线影业有限公司;,香港影业国际有限公司;,王子鸣;,,28400.7,1,1
不再让你孤单,,2014/3/20,刘烨;田亮;张颂文;冯丹滢;高天;黄秋生;连凯;舒淇;萨日娜;,,香港寰亚电影有限公司;中影寰亚音像制品有限公司;,刘伟强;,,1984.150000,2,2
不再说分手,爱情,2014/8/1,周秀娜;温心;钱嘉乐;郑伊健;葛民辉;杨千嬅;汤盈盈;林德信;王菀之;何浩鹏;,华夏电影发行有限责任公司;寰亚电影发行（北京）有限公司;,寰亚影视发行（香港）有限公司;中影寰亚音像制品有限公司;太阳娱乐文化有限公司;寰亚电影发行（北京）有限公司;,郑丹瑞;,,1028.3,1,1
不可思异,喜剧/科幻,2015/12/4,王宝强;小沈阳;董成鹏;尹正;,阿里巴巴影业集团有限公司;华策影业（天津）有限公司;星汇天姬（北京）影视传媒有限公司;广东珠江电影集团有限公司;,华夏电影发行有限责任公司;阿里巴巴（杭州）文化创意有限公司;华策影业（天津）有限公司;合肥广电投资有限责任公司;星汇天姬（北京）影视传媒有限公司;北青传媒股份有限公司;国盛影业（北京）有限公司;东莞星汇天姬影视传媒有限公司;北京宝亿嵘影视传媒有限公司;广东珠江电影集团有限公司;爱奇艺影业（北京）有限公司;成都挚友文化传播有限公司;北京环球浩翔影视文化传媒有限公司;,孙周;,,11178,1,1
不怕贼惦记,,2013/2/11,张馨予;吴刚;赵英俊;林栋甫;汪洋;肥龙;应采儿;张会忠;冀佳彤;庞清正;杨雅迪;岳秀清;陶为;夏力薪;张坤;张斌;,北京紫禁城三联影视发行有限公司;北京新影联影业有限责任公司;,北京影乐鑫海影视文化有限公司;,许传海;,,389.260000,2,2
不惧风暴,动作/灾难/惊悚,2014/9/12,罗恩·考西;杰瑞米·桑普特;理查德·阿米蒂奇;马特·沃尔什;莎拉·韦恩·卡丽丝;阿莉希亚·德布纳姆..;李·惠塔克;内森·克莱斯;,华夏电影发行有限责任公司;,威秀影业;新线电影公司;,史蒂文·奎里;,,11041.6,1,1
不是钱的事,剧情,2015/11/10,陈美行;王俪颖;,,,田玉奎;,,4.1,1,1
不朽的时光,剧情/励志,2016/4/15,王紫逸;爱新觉罗·启星;张逗逗;许正庭;,象山枫海传媒科技有限公司;天津金润文化传媒有限公司;浙江王马影视传媒有限公司;霍尔果斯风筝影业有限公司;,长春美辰影业有限公司;贵州人尹文化传媒有限公司;欣欣然（北京）文化传媒有限公司;永康枫海影业有限公司;浙江王马影视传媒有限公司;贵州旅游集团;北京雨澄影视文化传媒有限公司;,闫然;,,72.8,1,1
不爱不散,爱情,2014/1/10,林雪;方力申;何炅;赵柯;赵荣;洪天明;邓丽欣;苏永康;康华;,上海凯羿影视传播有限公司;,北京海润影业有限公司;广东叁加壹文化传播有限公司;,周君;叶伟英;,,77.1,1,1
不肯去观音,纪实/历史,2013/7/26,牛犇;聂远;李纯;中野良子;中泉英雄;王增奇;牟凤彬;斯琴高娃;,,无锡广播电视集团;北京丝宾丝文化传媒有限公司;惠州同人同业投资管理有限公司;,张鑫;,,178,1,1
不能说的夏天,爱情/青春,2014/10/24,戴立忍;徐若瑄;贾静雯;黄远;周幼婷;郭采洁;,,星美(北京)影业有限公司;台北影业股份有限公司;阿荣企业有限公司;库里电影股份有限公司;广东二十一世纪传媒股份有限公司;乐视影业（香港）有限公司;,王维明;,,1668.3,1,1
不能错过,爱情,2015/12/10,曾虹畅;马蔾;赵冉;郑媛元;崔航;吕卓燃;郄路通;,北京国龙影业发行股份有限公司;,北京奇百奇文化传媒有限公司;莉凡姐妹影视文化传媒有限公司;河北中联影业院线有限责任公司;北京真心英雄国际影视文化传播有限公司;邯郸市峰峰矿区瑞鑫伟业物资有限责任公司;,杜奇泉;祁子轩;,,14.3,1,1
不要迷恋姐,喜剧/爱情,2013/3/8,博林;刘栋升;钟萱;,华夏电影发行有限责任公司;,华夏电影发行有限责任公司;北京星宇华夏国际影视文化传媒有限公司;北京九天互动文化发展有限公司;神州金马影视文化传媒;,钟萱;,,11.6,1,1
不见不散,喜剧/爱情,2015/2/6,葛优;徐帆;,华谊兄弟传媒股份有限公司;,北京电影制片厂;北京紫禁城影业有限责任公司;,冯小刚;,,8.2,1,1
不速之客,惊悚/悬疑/犯罪,2016/3/18,黎明;耿乐;韩彩英;林羽;大宝哥;陈海亮;童冰玉;祝延平;于娜;,北京红色果实文化传播有限公司;,福建恒业影业有限公司;北京永旭良辰文化发展有限公司;北京果实创想影视文化有限公司;北京红色果实文化传播有限公司;稼轩环球影业有限公司;拉近影业有限公司;深圳前海潮润文化有限公司;奇想娱乐电影有限公司;北京拉近影业有限公司;,林大雄;,李亮文;安兵基;李宏瑞;伍立;武一;咸盛元;李德胜;李权贤;李志勋;杨博;李晶;许钟民;尚娜;岳翔;陈旭明;刘叙峰;李岩松;陈辉;,392.3,1,1
与时尚同居,,2013/4/19,林雪;张一白;高群书;舒耀瑄;余男;乔任梁;王太利;肖央;春晓;方然;谭咏麟;徐若瑄;周渝民;张小北;殷桃;袁婷婷;,,星光国际传媒（集团）有限公司;北京星光奥谱传媒有限公司;武汉常阳国际传媒有限公司;容丞和悦（北京）影视传媒投资有限公司;,尹丽川;,,556.520000,2,2
与贼同屋,爱情/悬疑,2014/8/29,张瑶;陈廷嘉;史力嘉;范逸臣;,北京今典影业有限公司;,北京中视汇影文化投资有限公司;,刘小春;,,48.4,1,1
丑小鸭历险记,动画,2016/7/2,小鱼;夏倚轩;妮妮;翰翰;阿飞;亦伦;皓为;木偶;永者;瑞奇;呱呱;,北京基点影视文化传媒有限公司;,广州塔秀动漫科技有限公司;广州金域投资有限公司;,郑义;张常青;谷立红;,郑义;滕建辉;王毅;王剑;冯永辉;刘统金;邓子瑜;贺双;,432.2,1,1
丑男大翻身,爱情,2014/5/27,念贤儿;赵硕之;陈玺安;常宽;安又琪;刘永健;,北京映画天下传媒文化有限公司;,北京盛世德合国际文化传播有限公司;北京龙视百纳文化传媒有限公司;北京亚兿星空文化传媒有限公司;,王猛;,,5.2,1,1
世界屋脊的歌声,剧情,2014/5/23,王仁君;,,山东省泰安市广播电视台;森田传媒（北京）有限公司;,王文杰;,,425.2,1,1
丛林有情狼,,2013/1/12,贾斯汀·朗;拉里·米勒;克里斯·卡马克;丹尼斯·霍珀;克里斯蒂娜·拉金;克里斯蒂娜·里奇;帕特里克·潘提尔;丹尼·格洛弗;,A-Film Distribution ;A-Film Home Entertainment ;Metropolitan Filmexport ;Ascot Elite Entertainment Group ;Central Partnership ;华夏电影发行有限责任公司;Shaw Organisation ;狮门影业公司;Monolith ;Audio Visual Entertainment ;Eagle Films ;Film1 ;Leeding Media ;Forum Hungary ;F,狮门影业家庭娱乐公司;,,,1516.260000,2,2
东北偏北,喜剧/犯罪/悬疑,2015/12/11,李滨;张优;郭辉;赖迦童;战鹤文;吴优;陈端;班赞;刘韦伯;,合一影业有限公司;北京微影时代科技有限公司;上海格瓦商务信息咨询有限公司;北京瑞格嘉尚文化传播有限公司;东阳天天尚映影业有限公司;新疆维吾尔自治区电影发行放映公司;,合一影业有限公司;北京一庙文化发展有限公司;中影（上海）国际文化传媒有限公司;,张秉坚;,,91.4,1,1
东方中国梦,纪实/纪录片,2013/6/27,果静林;马可;王千友;刁海明;,华夏电影发行有限责任公司;,乐在（北京）文化传播有限公司;,杨真;,,49.3,1,1
东方欲晓,纪实/革命/历史,2015/11/17,王霙;梁春书;,,国家新闻出版广电总局电影卫星频道节目制作中心;山西影视（集团）有限责任公司;,安澜;,,0.1,1,1
东莞女孩,爱情,2015/9/11,方青卓;刘之冰;茹萍;解惠清;李歌;梁辰羽;李卫东;,肇庆天艺文化传媒有限公司;,肇庆天艺文化传媒有限公司;东莞市海尚文化传播有限公司;东莞东润文化传媒有限公司;,董振业;方义华;,,10.5,1,1
丝路英雄·云镝,,2016/9/13,潘时七;苏国涛;鲁诺;赵育莹;冯兵;,中毓北京文化传媒有限公司;,承德非凡影视文化传媒有限责任公司;中毓北京文化传媒有限公司;中毓北京文化传媒有限公司玉树分公司;北京市民族文化交流中心;维码利得北京文化传播有限公司;北京中艺文昌文化传媒有限公司;北京合众影业文化发展有限公司;,杨小朴;方军;刘全玮;郑晓佳;,,61.290000,2,1
丢羊,剧情,2015/7/15,任帅;,,兰州浩发影视传媒有限公司;,汪小平;,,8.050000,2,1
中国合伙人,爱情/励志/青春,2013/5/17,佟大为;黄晓明;邓超;杜鹃;贝蒂娜·斯凯;冯仑;罗伊·波拉克;乔治·安东;,星美(北京)影业有限公司;北京光线影业有限公司;我们亚博思电影发行（北京）有限公司;,香港寰亚电影有限公司;安乐影片有限公司;星美(北京)影业有限公司;我们制作有限公司;北京玖阳晟禾科技有限公司;,陈可辛;,,53880.3,1,1
中国好声音之为你转身,歌舞/纪实,2013/12/27,华少;丁丁;伊一;吴莫愁;汪峰;赵露;张玮;金池;李代沫;萱萱;王克;张赫宣;大山;李秋泽;,北京光线影业有限公司;,浙江金球影业有限公司;上海灿星文化传媒有限公司;浙江卫视电视台;上海满满额文化传播有限公司;,蔡于位;,,301.6,1,1
临时同居,爱情/喜剧,2014/8/21,杨颖;欧豪;张家辉;黄子华;胡杏儿;郑秀文;,安乐（北京）电影发行有限公司;北京联瑞影业有限公司;,安乐影片有限公司;安乐（北京）电影发行有限公司;万诱引力电影公司;,卓韵芝;,,10108.4,1,1
临时约定,爱情/喜剧,2016/4/15,董立范;陈震;石小满;喜莲娜·阿尼基耶娃;贾博融;张艺泷;韩英群;颜冠英;,北京盛雅文化传媒有限公司;,北京盛雅文化传媒有限公司;北京盛雅文化传播有限公司;,曹剑;,曹剑;,68.6,1,1
临沧的诱惑,爱情/喜剧,2015/6/24,由立平;李璟荣;邱箫婵;陈俊文;王丁宇;钱晨洁;修革;李部;,峨眉电影集团有限公司;,云南民族电影制片厂;,陈明新;,,0.1,1,1
临终囧事,惊悚/喜剧,2013/5/16,景岗山;包贝尔;张超;冯淬帆;林子聪;詹瑞文;杨恭如;莫小棋;孙锡堃;文咏珊;,浙江博纳影视制作有限公司;,杭州和润影视有限公司;,钱江汉;,,781.9,1,1
为了这片土地,剧情/主旋律/农村/现实,2015/7/1,,,北方联合影视集团有限公司;,宁敬武;,,400.2,1,1
为爱放手,爱情,2016/9/9,姜潮;童菲;于朦胧;高泰宇;谢彬彬;,深圳善为影业股份有限公司;北京映美时代文化传媒有限公司;,唐城文化传媒股份有限公司;,罗敏;,,46.27,1,1
乌珠穆沁的孩子,剧情,2015/11/27,,,内蒙古巨典文化影视传媒有限公司;,,,0,1,1
乌龙戏凤2012,,2013/1/2,赵立新;九孔;苑新雨;陈怡蓉;路斯明;澎恰恰;房思瑜;,上海华宇电影股份有限公司;,北京华录百纳影视股份有限公司;兴扬电影有限公司;上海东锦文化传播有限公司;上海金艺华都影视投资有限公司;,罗安得;,,272.130000,2,2
乐乐熊奇幻追踪,动画,2013/6/29,,中影新农村数字放映有限公司;,重庆享弘影视股份有限公司;,成宝钢;,,7.4,1,1
乐翻天,,2013/4/18,宁静;姜武;黄奕;刘桦;杜海涛;姚橹;郑京虎;张达明;林子聪;隋凯;吴江;黄姿琪;孟瞳迪;田家达;,北京光线影业有限公司;,星光国际传媒（集团）有限公司;北京大安映画文化传媒公司;北京星光国际传媒有限公司;北京金鹰芒果映画国际文化传媒有限公司;,王岳伦;,,506.860000,2,2
乐队,歌舞,2012/7/4,江老蔫儿;赵怡文;,,北京派华文化发展有限公司;,彭磊;,,5.8,1,1
乔布斯,纪录片/传记,2013/9/27,维克多·罗塞克;阿曼达·克鲁;朗·埃达德;凯文·杜恩;山姆·莱文;布拉德·威廉姆·亨克;卢卡斯·哈斯;乔什·盖德;德蒙特·莫罗尼;阿娜·欧蕾利;黛布拉·盖瑞特;罗德尼·理查兹;埃尔登·汉森;莱斯莉·安·华伦;伊万·哈尔姆斯;约翰·盖兹;内尔森·富兰克林;马修·莫迪恩;詹姆斯·伍兹;罗尼·吉恩·布列文斯;艾什顿·库彻;j·k·西蒙斯;艾伦d·柏温;,华夏电影发行有限责任公司;,Silver Reel ;,约书亚·迈克尔·斯坦恩;,,1259.2,1,1
九层妖塔,动作/惊悚/魔幻/冒险,2015/9/30,王庆祥;唐嫣;姚晨;李光洁;吴军;王德顺;冯粒;凤小岳;赵又廷;,乐视影业（北京）有限公司;北京微影时代科技有限公司;,乐视影业（北京）有限公司;北京微影时代科技有限公司;梦想者电影（北京）有限公司;北京环球艺动影业有限公司;北京华章东信文化投资有限公司;长江出版传媒股份有限公司;北京恒乐鲸影视文化发展有限公司;新疆丝路秀文化产业投资有限公司;青岛出版集团有限公司;通江浮古影视基金;,陆川;,,68280.2,1,1
九条命,,2016/9/9,凯文·史派西;罗比·阿梅尔;珍妮弗·加纳;克里斯托弗·沃肯;,EuropaCorp. Distribution ;Prorom Media-Trade ;Diamond Films ;VVS Films ;Cathay-Keris Films Pte. Ltd. ;Mongkol Major ;DeA Planeta S.L. ;Colossal Mega Films ;EuropaCorp USA ;Relativity EuropaCorp Distribution (RED) ;Universum Film ;,法国欧罗巴电影公司;欧罗巴电影公司;Mel's Cite du Cinema ;基美影业;Concept & Creation Mordicus Inc. ;上海基美影业股份有限公司;,巴里·索南菲尔德;,Mark Gao ;christophe lambert;gregory ouanhon;henri deneubourg;thierry guilmard;高敬东;吕克·贝松;lisa ellzey;claude léger;jonathan vanger;,5197.45,1,1
乡村不寂寞,爱情,2015/2/15,,河南郑州冰点奥斯卡院线广告有限公司;,寻梦文化传媒（北京）有限公司;梦影时光（北京）文化传媒有限公司;,,,3.4,1,1
乡间童谣,剧情,2013/6/1,杨政;杰珂;,,山西创艺影视制片责任公司;,大飞;,,31.3,1,1
乳娘情,剧情/主旋律,2013/12/10,韩月乔;曲国强;曲海峰;李虎;,,中国电影家协会;安徽博雅科贸有限公司;,任飞;,,1.1,1,1
了不起的盖茨比,爱情,2013/8/30,莱昂纳多·迪卡普里奥;丹尼尔·纽曼;阿米特巴·巴强;文斯·科洛斯莫;乔尔·埃哲顿;阿德莱德·克莱蒙丝;杰克·科曼;戈兰·克鲁特;托比·马奎尔;艾拉·菲舍尔;嘉玛·沃德;杰森·克拉克;凯瑞·穆丽根;杰克·汤普森;巴里·奥托;卡兰·麦克奥利菲;,华夏电影发行有限责任公司;,,巴兹·鲁尔曼;,,8506.3,1,1
二十二,剧情/纪录片,2015/11/11,,,四川七国文化传播有限公司;,郭柯;,,0,1,1
二次曝光,爱情/悬疑,2012/9/29,范冰冰;冯绍峰;姚安濂;梁静;孔维;陈冲;,北京劳雷影业有限公司;北京盛世新影影视发行有限公司;,北京劳雷影业有限公司;广东润视影音制作有限公司;峨眉电影集团有限公司;,李玉;,,10738.7,1,1
