像小强一样活着,,2013/3/8,方青卓,福建恒业影业有限公司;,北京泽西年代影业有限公司,关尔;,,361.07,2,2
像素大战,动作/喜剧/科幻,2015/9/15,凯文·詹姆斯,United International Pictures (UIP) ,哥伦比亚影片公司,克里斯·哥伦布;,,10096.5,1,1
光棍终结者,,2013/2/19,周韦彤,万达影视传媒有限公司;,华星天诚(北京)国际文化发展有限公司,赵非;,,120.42,2,2
光的棍,喜剧/爱情,2013/11/8,毛俊杰,华夏电影发行有限责任公司,无锡金视影视制作有限公司,刘存明;,,70.3,1,1
光荣使命,[],2015/4/20,,新疆自治区电影发行放映公司;,新疆电视台;,,,0.5,1,1
光辉岁月,动作/冒险/爱情,2013/6/9,陈观泰,,北京光线影业有限公司,熊欣欣;,,376.6,1,1
兔侠之青黎传说,动画/冒险,2015/2/21,黄磊,北京万众灿烂影视文化传播有限公司,天津北方电影集团,孙立军;,,2973,1,1
兔侠传奇,,2015/2/23,张丰毅,,国家新闻出版广电总局电影卫星频道节目制作中心,孙立军;,,1565.29,2,2
兔子镇的火狐狸,动画/喜剧/冒险,2015/10/30,宣晓鸣,爱微笑文化传媒（北京）有限公司,北京数字领海电影科技有限公司,葛水英;,,265.4,1,1
党的女儿尹灵芝,剧情/主旋律,2016/7/1,郜耀平,蒸腾影业（北京）有限公司,中国人民解放军后勤保障部金盾影视中心,卫晓茼;,,73.8,1,1
全力扣杀,动作/喜剧,2015/12/11,何超仪,华夏电影发行有限责任公司;,852电影制作有限公司,郭子健;,,78.7,1,1
全城通缉,动作/悬疑/犯罪,2014/11/6,刘烨,上海电影（集团）有限公司;,武汉银都文化传媒股份有限公司,汪涛;,,3507.7,1,1
全城高考,喜剧/爱情/青春,2013/2/5,吴刚,华夏电影发行有限责任公司,国家新闻出版广电总局电影卫星频道节目制作中心,钟少雄;,,332.1,1,1
全民目击,惊悚/悬疑/犯罪,2013/9/13,孙红雷,电广传媒影业(北京)有限公司,北京新影联影业有限责任公司,非行;,,18118.5,1,1
全球热恋,,2016/5/20,徐帆,华谊兄弟传媒股份有限公司;,华谊兄弟传媒股份有限公司,陈国辉,,5824.77,2,2
全能囧爸,喜剧,2015/3/5,张振荣,杭州寰耀影视文化传媒有限公司;,杭州寰耀影视文化传媒有限公司,董春泽;,,83,1,1
八星抱喜,,2013/1/7,林雪,乐视影业（北京）有限公司;,尚品电影有限公司,陈庆嘉,,8614.07,2,2
公主的诱惑,爱情/青春/喜剧,2013/10/25,夏凡,上海凯羿影视传播有限公司;,福建恒业影业有限公司,黄肖英;,,161.7,1,1
公路美人,爱情,2015/4/3,于荣光,华夏电影发行有限责任公司;,华夏电影发行有限责任公司,非可,,9.9,1,1
六弄咖啡馆,爱情/青春,2016/7/29,董子健,上海格瓦商务信息咨询有限公司,华视影视投资（北京）有限公司,吴子云,刘杰,654.4,1,1
六福喜事,爱情/喜剧,2014/1/11,方力申,乐视影业（北京）有限公司;,乐视影业（北京）有限公司,谷德昭;,,8090.9,1,1
兰亭,爱情/战争,2014/3/8,吴娜,杭州诗情画意文化传媒有限公司,杭州诗情画意文化传媒有限公司;,肖风;,,236.5,1,1
关云长,,2013/10/14,聂远,上海电影股份有限公司影视发行分公司,上海电影（集团）有限公司,麦兆辉,,13382.28,2,2
再次出发,喜剧/爱情/音乐,2015/6/26,马克·鲁法洛,Ascot Elite Entertainment Group ,Exclusive Media Group ,约翰·卡尼;,,2027.1,1,1
再爱一次好不好,爱情/喜剧,2014/4/11,贺刚,,共青团中央网络影视中心,张长征;,,76.3,1,1
